epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.53078,2.47281,4.88733,0.01349,0.00209,0.03347,0.00204,0.00105,1.64505,4.05391,0.00876,2.307e-05,2.307e-05,2.307e-05
2,2.68958,2.22853,4.89981,0.01222,0.00342,0.05964,0.00356,0.00182,1.55887,4.02471,0.0081,5.32971e-05,5.32971e-05,5.32971e-05
3,3.75276,2.04538,4.79551,0.0106,0.00549,0.0895,0.00652,0.00358,1.52194,3.94351,0.00768,8.29151e-05,8.29151e-05,8.29151e-05
4,4.83706,1.83205,4.62317,0.00907,0.00708,0.13386,0.01517,0.00807,1.57139,3.88569,0.00809,0.000111924,0.000111924,0.000111924
5,5.91639,1.78722,4.50837,0.00876,0.00776,0.15112,0.02728,0.01363,1.68084,3.86553,0.00841,0.000140324,0.000140324,0.000140324
6,7.03359,1.74623,4.28005,0.00766,0.00875,0.1484,0.03762,0.01704,1.81013,3.79047,0.00926,0.000168115,0.000168115,0.000168115
7,8.11667,1.67239,3.98179,0.00797,0.01086,0.1289,0.03771,0.01572,1.77097,3.66783,0.00929,0.000195297,0.000195297,0.000195297
8,9.18733,1.65052,3.79835,0.00736,0.00882,0.12301,0.04021,0.01683,1.69218,3.53538,0.00894,0.00022187,0.00022187,0.00022187
9,10.2432,1.56415,3.63324,0.00691,0.00944,0.13329,0.05211,0.02642,1.47371,3.38324,0.00795,0.000247833,0.000247833,0.000247833
10,11.3127,1.6263,3.35425,0.00701,0.01016,0.16131,0.06361,0.03033,1.50092,3.29843,0.00861,0.000273188,0.000273188,0.000273188
11,12.481,1.71468,3.21097,0.00673,0.00988,0.16501,0.06529,0.03013,1.53701,3.26374,0.0084,0.000297934,0.000297934,0.000297934
12,13.5638,1.6275,2.94669,0.00734,0.01047,0.17267,0.06549,0.03062,1.42474,3.30928,0.0082,0.00032207,0.00032207,0.00032207
13,14.6045,1.62162,2.83047,0.0067,0.01232,0.19267,0.07204,0.03696,1.3868,3.23094,0.00784,0.000345598,0.000345598,0.000345598
14,15.6063,1.56876,2.76151,0.0071,0.01977,0.27863,0.1184,0.0638,1.33836,3.15802,0.00783,0.000368516,0.000368516,0.000368516
15,16.628,1.53079,2.6705,0.0068,0.02528,0.34632,0.14623,0.0853,1.32393,3.05643,0.0078,0.000390826,0.000390826,0.000390826
16,17.6466,1.54294,2.69868,0.00661,0.02935,0.39716,0.17209,0.11041,1.28386,2.93102,0.00721,0.000412526,0.000412526,0.000412526
17,18.7416,1.52777,2.65056,0.00633,0.0314,0.44896,0.18539,0.12177,1.28346,2.92268,0.0072,0.000433618,0.000433618,0.000433618
18,19.7642,1.51063,2.59419,0.00651,0.03092,0.47982,0.20823,0.13848,1.27975,2.9008,0.00734,0.0004541,0.0004541,0.0004541
19,20.7776,1.49549,2.56483,0.00626,0.03409,0.508,0.22858,0.15141,1.28758,2.84964,0.00705,0.000473973,0.000473973,0.000473973
20,21.7915,1.47557,2.56162,0.00642,0.03837,0.50969,0.25056,0.16777,1.25009,2.78145,0.0067,0.000493237,0.000493237,0.000493237
21,22.8866,1.41407,2.45666,0.00604,0.03965,0.55846,0.27792,0.18534,1.23824,2.66613,0.00656,0.000511893,0.000511893,0.000511893
22,23.9127,1.44375,2.33892,0.0059,0.04261,0.65535,0.2994,0.19263,1.31286,2.51495,0.00694,0.000529939,0.000529939,0.000529939
23,24.9161,1.42787,2.3989,0.00674,0.06011,0.72449,0.31873,0.20654,1.26493,2.39797,0.0067,0.000547376,0.000547376,0.000547376
24,25.9466,1.48118,2.36118,0.00679,0.40214,0.43001,0.31675,0.20496,1.26229,2.38786,0.00664,0.000564204,0.000564204,0.000564204
25,26.9767,1.44562,2.32271,0.0063,0.59276,0.2084,0.31038,0.19426,1.36739,2.40473,0.00729,0.000580423,0.000580423,0.000580423
26,28.0601,1.40809,2.25062,0.00589,0.77629,0.16461,0.34829,0.2265,1.23935,2.30198,0.00665,0.000578672,0.000578672,0.000578672
27,29.0853,1.41116,2.17953,0.00554,0.8017,0.20467,0.39905,0.26366,1.24781,2.13869,0.0066,0.000571059,0.000571059,0.000571059
28,30.1053,1.42032,2.15075,0.0056,0.76471,0.23746,0.41981,0.27937,1.29652,2.02226,0.00698,0.000563446,0.000563446,0.000563446
29,31.1094,1.39025,2.17764,0.00605,0.7012,0.26086,0.43388,0.28854,1.28235,1.94936,0.00686,0.000555833,0.000555833,0.000555833
30,32.1101,1.36435,2.13011,0.00607,0.66269,0.3092,0.43794,0.28437,1.32419,1.95316,0.00709,0.00054822,0.00054822,0.00054822
31,33.1975,1.36999,2.07933,0.00588,0.49225,0.38647,0.44944,0.28799,1.33638,1.86679,0.00726,0.000540607,0.000540607,0.000540607
32,34.2101,1.3737,2.09977,0.00587,0.48072,0.47491,0.46573,0.29709,1.30886,1.75441,0.00687,0.000532994,0.000532994,0.000532994
33,35.2238,1.33265,1.93146,0.00567,0.37899,0.5306,0.45866,0.29862,1.28124,1.68218,0.00653,0.000525381,0.000525381,0.000525381
34,36.2485,1.39047,1.98971,0.00577,0.37371,0.51805,0.46053,0.30647,1.25768,1.63718,0.00666,0.000517768,0.000517768,0.000517768
35,37.2816,1.34018,1.96151,0.00568,0.381,0.48453,0.46831,0.3155,1.25686,1.60458,0.00686,0.000510155,0.000510155,0.000510155
36,38.3045,1.36286,1.87254,0.00502,0.43052,0.48881,0.48531,0.3286,1.27904,1.60326,0.00692,0.000502541,0.000502541,0.000502541
37,39.4069,1.35478,1.85136,0.00537,0.55864,0.53606,0.52048,0.3512,1.24989,1.54743,0.00664,0.000494928,0.000494928,0.000494928
38,40.4482,1.37387,1.84568,0.00552,0.60122,0.50767,0.52594,0.35549,1.25741,1.47771,0.00656,0.000487315,0.000487315,0.000487315
39,41.4755,1.3226,1.79638,0.00537,0.57101,0.53644,0.52721,0.35501,1.26003,1.4302,0.00665,0.000479702,0.000479702,0.000479702
40,42.4994,1.31079,1.83312,0.0057,0.54057,0.5375,0.53039,0.35965,1.26565,1.40023,0.00663,0.000472089,0.000472089,0.000472089
41,43.5285,1.34273,1.75699,0.00541,0.56596,0.55505,0.53824,0.36314,1.29586,1.43717,0.0068,0.000464476,0.000464476,0.000464476
42,44.6509,1.32126,1.78288,0.00533,0.59202,0.56129,0.5582,0.37393,1.30612,1.48036,0.00699,0.000456863,0.000456863,0.000456863
43,45.6791,1.33586,1.78949,0.0056,0.63963,0.57611,0.58797,0.39213,1.27095,1.43109,0.00691,0.00044925,0.00044925,0.00044925
44,46.7415,1.36282,1.71894,0.00526,0.63081,0.55368,0.59527,0.3988,1.26058,1.37807,0.00662,0.000441637,0.000441637,0.000441637
45,47.8094,1.28884,1.71088,0.00527,0.54248,0.58012,0.60183,0.40453,1.29031,1.30104,0.00671,0.000434024,0.000434024,0.000434024
46,48.8603,1.26098,1.71098,0.00507,0.50483,0.58063,0.61132,0.41226,1.239,1.24796,0.00646,0.000426411,0.000426411,0.000426411
47,49.9616,1.28576,1.72242,0.00527,0.55631,0.60073,0.6199,0.41979,1.23236,1.22874,0.00649,0.000418797,0.000418797,0.000418797
48,51.0037,1.28096,1.6348,0.00545,0.59853,0.60398,0.63053,0.41992,1.26598,1.24082,0.00651,0.000411184,0.000411184,0.000411184
49,52.0596,1.33667,1.65892,0.00512,0.61697,0.59127,0.6343,0.42204,1.24963,1.23241,0.00646,0.000403571,0.000403571,0.000403571
50,53.1902,1.2667,1.6039,0.00533,0.61135,0.55187,0.63484,0.42299,1.24999,1.20625,0.00664,0.000395958,0.000395958,0.000395958
51,54.2979,1.32852,1.57415,0.00513,0.53835,0.60588,0.63081,0.41953,1.24025,1.19816,0.00649,0.000388345,0.000388345,0.000388345
52,55.4735,1.28735,1.62709,0.00534,0.55398,0.60151,0.6314,0.42452,1.24262,1.16921,0.00642,0.000380732,0.000380732,0.000380732
53,56.5736,1.28073,1.53969,0.00541,0.63845,0.54312,0.64724,0.4314,1.22953,1.17616,0.00623,0.000373119,0.000373119,0.000373119
54,57.6624,1.27452,1.55967,0.00514,0.64225,0.59168,0.65412,0.43698,1.23221,1.16281,0.00648,0.000365506,0.000365506,0.000365506
55,58.7441,1.24236,1.52444,0.00506,0.67196,0.56196,0.65133,0.44143,1.22164,1.18026,0.00634,0.000357893,0.000357893,0.000357893
56,59.8446,1.24516,1.53579,0.00527,0.65681,0.59087,0.65814,0.44657,1.20248,1.16728,0.00642,0.00035028,0.00035028,0.00035028
57,60.9645,1.25598,1.55227,0.00528,0.68409,0.54714,0.661,0.44568,1.2293,1.15234,0.00654,0.000342666,0.000342666,0.000342666
58,62.1753,1.29398,1.54264,0.00528,0.73456,0.52624,0.66441,0.43841,1.2836,1.16335,0.00676,0.000335053,0.000335053,0.000335053
59,63.3035,1.34775,1.52558,0.00514,0.73166,0.53596,0.66719,0.43884,1.27971,1.17023,0.00664,0.00032744,0.00032744,0.00032744
60,64.4167,1.25869,1.46537,0.00486,0.63489,0.62119,0.67584,0.45336,1.23582,1.1335,0.00639,0.000319827,0.000319827,0.000319827
61,65.5441,1.27028,1.48467,0.00504,0.65085,0.62143,0.67823,0.45672,1.24832,1.12452,0.00637,0.000312214,0.000312214,0.000312214
62,66.643,1.32786,1.51602,0.00529,0.66532,0.64241,0.68211,0.46301,1.21675,1.13267,0.00629,0.000304601,0.000304601,0.000304601
63,67.837,1.22072,1.45435,0.00485,0.66725,0.64026,0.68413,0.46429,1.22106,1.1344,0.00633,0.000296988,0.000296988,0.000296988
64,68.9084,1.23994,1.50136,0.00508,0.6573,0.62667,0.68516,0.46707,1.19255,1.13139,0.00617,0.000289375,0.000289375,0.000289375
65,69.9991,1.24443,1.41739,0.00472,0.67497,0.61026,0.68259,0.46376,1.20034,1.12143,0.00619,0.000281762,0.000281762,0.000281762
