epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.79208,1.91578,9.40169,0.01297,0.0209,0.03801,0.01186,0.00945,1.37216,7.54237,0.00712,5.383e-05,5.383e-05,5.383e-05
2,9.25415,1.53254,6.24816,0.00638,0.02256,0.0816,0.02567,0.01693,1.25758,5.66917,0.00657,0.000114208,0.000114208,0.000114208
3,14.0131,1.34833,5.08853,0.00639,0.04108,0.18432,0.05747,0.03869,1.24658,4.34054,0.00667,0.000173368,0.000173368,0.000173368
4,18.1686,1.32667,4.49186,0.00686,0.06192,0.28897,0.09026,0.06426,1.17019,3.56114,0.00674,0.00023131,0.00023131,0.00023131
5,22.3757,1.31314,4.01965,0.00608,0.33162,0.23166,0.15809,0.10741,1.21775,2.89743,0.00691,0.000288034,0.000288034,0.000288034
6,26.7314,1.28621,3.27856,0.00538,0.45089,0.26161,0.26277,0.17429,1.17902,2.35222,0.00668,0.000343539,0.000343539,0.000343539
7,32.6018,1.29349,3.23471,0.00589,0.31614,0.36494,0.3026,0.19275,1.25407,2.26548,0.00719,0.000397827,0.000397827,0.000397827
8,39.3502,1.25725,2.68124,0.00571,0.35827,0.52903,0.44022,0.30341,1.21012,1.87803,0.00691,0.000450896,0.000450896,0.000450896
9,46.7477,1.23737,2.29678,0.00609,0.58866,0.54986,0.5845,0.39195,1.22654,1.73699,0.00678,0.000502748,0.000502748,0.000502748
10,50.4921,1.21907,2.07547,0.00594,0.50399,0.64756,0.61693,0.4233,1.14981,1.6028,0.00632,0.000553381,0.000553381,0.000553381
11,57.2121,1.23574,1.80719,0.00532,0.59373,0.66567,0.66304,0.439,1.16124,1.43895,0.00635,0.000602796,0.000602796,0.000602796
12,60.5171,1.18698,1.74432,0.00606,0.63396,0.66781,0.66038,0.44302,1.16515,1.38378,0.00654,0.000650993,0.000650993,0.000650993
13,64.1596,1.20491,1.54901,0.00552,0.62737,0.73507,0.69546,0.4715,1.16454,1.29416,0.00656,0.000677643,0.000677643,0.000677643
14,67.9733,1.24164,1.48409,0.00532,0.67366,0.73913,0.7421,0.50517,1.18672,1.21066,0.00694,0.00067003,0.00067003,0.00067003
15,71.0763,1.22654,1.41735,0.00555,0.66881,0.74641,0.76689,0.51923,1.187,1.16188,0.00659,0.000662417,0.000662417,0.000662417
16,75.9754,1.17885,1.2566,0.00585,0.77823,0.72268,0.78563,0.51981,1.2223,1.08013,0.00688,0.000654804,0.000654804,0.000654804
17,79.4679,1.17921,1.20328,0.00493,0.75455,0.70867,0.76467,0.52105,1.1515,1.06356,0.00646,0.00064719,0.00064719,0.00064719
18,84.0158,1.19781,1.23872,0.00548,0.83125,0.68956,0.82305,0.54693,1.18365,1.09729,0.00659,0.000639577,0.000639577,0.000639577
19,88.8685,1.20034,1.20219,0.00574,0.77578,0.7158,0.8026,0.52454,1.22093,1.08532,0.007,0.000631964,0.000631964,0.000631964
20,92.4422,1.22031,1.19183,0.00495,0.79283,0.75858,0.81554,0.55916,1.17637,0.99844,0.0067,0.000624351,0.000624351,0.000624351
21,95.8662,1.15096,1.14405,0.00521,0.81145,0.74363,0.81631,0.5697,1.13959,0.99286,0.00654,0.000616738,0.000616738,0.000616738
22,99.1865,1.21086,1.06857,0.00522,0.83937,0.76254,0.82528,0.56506,1.17498,0.94527,0.00662,0.000609125,0.000609125,0.000609125
23,103.673,1.18624,1.10123,0.00636,0.81809,0.812,0.84424,0.59001,1.12111,0.93032,0.0065,0.000601512,0.000601512,0.000601512
24,107.085,1.08903,0.96888,0.00534,0.83913,0.79058,0.86111,0.61104,1.10596,0.90488,0.00637,0.000593899,0.000593899,0.000593899
25,112.285,1.17388,1.00158,0.00498,0.83895,0.82083,0.86878,0.6058,1.12266,0.8637,0.0063,0.000586286,0.000586286,0.000586286
26,115.736,1.10222,0.95729,0.00468,0.81461,0.8043,0.84834,0.60182,1.12641,0.86804,0.00638,0.000578672,0.000578672,0.000578672
27,119.579,1.0896,0.89271,0.00437,0.77888,0.79634,0.82709,0.58101,1.11058,0.89461,0.00602,0.000571059,0.000571059,0.000571059
28,124.423,1.06558,0.91877,0.00516,0.84354,0.78868,0.83057,0.58087,1.12034,0.87089,0.00613,0.000563446,0.000563446,0.000563446
29,129.286,1.08679,0.89257,0.00535,0.78802,0.8308,0.84213,0.5925,1.12553,0.86294,0.00631,0.000555833,0.000555833,0.000555833
30,132.67,1.09631,0.90987,0.00537,0.81928,0.80889,0.85289,0.59469,1.13573,0.87451,0.0063,0.00054822,0.00054822,0.00054822
31,135.962,1.03667,0.82683,0.00452,0.80502,0.84106,0.84917,0.58672,1.15789,0.849,0.0064,0.000540607,0.000540607,0.000540607
32,139.229,1.06854,0.86918,0.00471,0.83072,0.82232,0.8498,0.59097,1.0741,0.86817,0.00596,0.000532994,0.000532994,0.000532994
33,143.384,1.08547,0.84428,0.00447,0.82509,0.82246,0.85811,0.60891,1.07491,0.83266,0.00601,0.000525381,0.000525381,0.000525381
34,147.23,1.06081,0.85021,0.00451,0.79498,0.85513,0.85793,0.6201,1.06279,0.83052,0.0061,0.000517768,0.000517768,0.000517768
35,150.351,1.08287,0.84983,0.00489,0.79254,0.85749,0.86555,0.62784,1.0281,0.83935,0.00569,0.000510155,0.000510155,0.000510155
36,153.482,1.012,0.81035,0.00462,0.83261,0.84922,0.8655,0.62431,1.04101,0.81858,0.0058,0.000502541,0.000502541,0.000502541
37,156.762,0.99903,0.77692,0.00412,0.86137,0.83861,0.86689,0.62351,1.0441,0.80997,0.00579,0.000494928,0.000494928,0.000494928
38,160.018,0.97487,0.70717,0.00371,0.84172,0.84279,0.8597,0.62036,1.0558,0.78753,0.00592,0.000487315,0.000487315,0.000487315
39,164.931,1.02184,0.72649,0.00499,0.79291,0.87291,0.85649,0.61995,1.04707,0.78079,0.00583,0.000479702,0.000479702,0.000479702
40,171.462,1.01332,0.77151,0.00639,0.79956,0.8525,0.84282,0.61571,1.06364,0.81846,0.00596,0.000472089,0.000472089,0.000472089
41,175.523,0.9985,0.75166,0.00445,0.78857,0.84906,0.8504,0.60979,1.06325,0.83279,0.006,0.000464476,0.000464476,0.000464476
42,181.561,1.00088,0.74085,0.0043,0.78231,0.87912,0.85053,0.60919,1.05349,0.83717,0.00575,0.000456863,0.000456863,0.000456863
43,186.8,0.99297,0.71422,0.00434,0.81172,0.84525,0.85416,0.61689,1.05088,0.79924,0.00596,0.00044925,0.00044925,0.00044925
44,192.269,0.99923,0.7211,0.00425,0.85566,0.80459,0.86141,0.61696,1.07094,0.77348,0.00613,0.000441637,0.000441637,0.000441637
45,197.761,0.95529,0.70597,0.00388,0.84086,0.86335,0.87299,0.62447,1.05175,0.74868,0.00587,0.000434024,0.000434024,0.000434024
46,201.8,0.95676,0.69831,0.00394,0.82798,0.85632,0.86261,0.62276,1.05902,0.77888,0.00619,0.000426411,0.000426411,0.000426411
47,207.459,0.95328,0.67994,0.00385,0.81076,0.86956,0.86904,0.6158,1.08998,0.73592,0.00628,0.000418797,0.000418797,0.000418797
48,212.015,0.95253,0.68957,0.00442,0.80005,0.88698,0.87197,0.61626,1.09132,0.77578,0.00622,0.000411184,0.000411184,0.000411184
49,216.617,0.92331,0.67515,0.00406,0.85056,0.84841,0.87173,0.63238,1.04874,0.73585,0.00589,0.000403571,0.000403571,0.000403571
50,220.52,0.93189,0.6259,0.00382,0.80832,0.8696,0.86342,0.62279,1.08592,0.7758,0.00596,0.000395958,0.000395958,0.000395958
51,225.851,0.95623,0.69218,0.00377,0.80999,0.86345,0.86505,0.6272,1.0512,0.74454,0.00578,0.000388345,0.000388345,0.000388345
52,229.231,0.91817,0.61775,0.00404,0.8667,0.84795,0.87463,0.63408,1.06284,0.7367,0.00603,0.000380732,0.000380732,0.000380732
53,234.902,0.90109,0.60944,0.00361,0.85152,0.8308,0.87596,0.63766,1.0572,0.73215,0.00591,0.000373119,0.000373119,0.000373119
54,240.257,0.89731,0.62768,0.00381,0.84118,0.84118,0.87673,0.64288,1.04659,0.73018,0.00583,0.000365506,0.000365506,0.000365506
55,244.589,0.8713,0.57473,0.00362,0.86252,0.84691,0.87421,0.63465,1.04824,0.73767,0.00589,0.000357893,0.000357893,0.000357893
56,247.927,0.92174,0.62455,0.00368,0.85599,0.87089,0.87311,0.63838,1.01727,0.70848,0.00558,0.00035028,0.00035028,0.00035028
57,252.92,0.91586,0.62736,0.00382,0.85979,0.88105,0.88239,0.63666,1.04215,0.69332,0.00576,0.000342666,0.000342666,0.000342666
58,256.152,0.91423,0.63575,0.00398,0.8404,0.88131,0.88137,0.63756,1.05251,0.70774,0.00571,0.000335053,0.000335053,0.000335053
59,259.595,0.87631,0.60229,0.00328,0.86919,0.85396,0.88432,0.64168,1.06568,0.71655,0.00572,0.00032744,0.00032744,0.00032744
60,263.167,0.94873,0.64493,0.00406,0.84433,0.86156,0.87511,0.64487,1.02318,0.74812,0.0056,0.000319827,0.000319827,0.000319827
61,266.324,0.91017,0.62939,0.00374,0.86207,0.84158,0.87702,0.64887,1.00467,0.72184,0.00544,0.000312214,0.000312214,0.000312214
62,269.548,0.90308,0.66775,0.00383,0.82485,0.88375,0.8735,0.64102,1.04378,0.71901,0.0056,0.000304601,0.000304601,0.000304601
63,272.631,0.89798,0.5893,0.00402,0.83795,0.87039,0.88084,0.64949,1.02628,0.69478,0.00548,0.000296988,0.000296988,0.000296988
64,275.895,0.89976,0.60809,0.00392,0.87697,0.86745,0.8832,0.64298,1.02376,0.70973,0.0055,0.000289375,0.000289375,0.000289375
65,279.48,0.90253,0.61241,0.00436,0.8535,0.86467,0.87885,0.64596,1.03677,0.72863,0.00561,0.000281762,0.000281762,0.000281762
66,282.596,0.88568,0.58851,0.00361,0.8398,0.87993,0.8887,0.65117,1.03384,0.7051,0.00553,0.000274148,0.000274148,0.000274148
67,286.581,0.88493,0.56034,0.00402,0.86813,0.87282,0.886,0.65403,1.0317,0.70118,0.00562,0.000266535,0.000266535,0.000266535
68,289.878,0.86105,0.57031,0.00388,0.86094,0.87459,0.88847,0.65137,1.02582,0.71009,0.00555,0.000258922,0.000258922,0.000258922
69,293.172,0.84879,0.55073,0.00343,0.85792,0.86567,0.88594,0.65509,0.99912,0.72196,0.00535,0.000251309,0.000251309,0.000251309
70,296.865,0.81006,0.5614,0.00359,0.88352,0.84882,0.88359,0.65288,0.9936,0.71961,0.00541,0.000243696,0.000243696,0.000243696
71,300.141,0.85493,0.54413,0.00338,0.86413,0.8394,0.87777,0.6375,1.02789,0.72732,0.00553,0.000236083,0.000236083,0.000236083
72,304.319,0.8834,0.57282,0.00368,0.85907,0.86476,0.88146,0.63557,1.01902,0.72269,0.00534,0.00022847,0.00022847,0.00022847
73,307.448,0.86707,0.57277,0.00312,0.85558,0.85443,0.88037,0.64032,1.00233,0.69921,0.00525,0.000220857,0.000220857,0.000220857
74,311.469,0.90406,0.58143,0.00349,0.88393,0.84938,0.88472,0.65187,0.99037,0.70021,0.0052,0.000213244,0.000213244,0.000213244
75,315.588,0.83428,0.55136,0.00342,0.87926,0.85531,0.88781,0.64718,0.99774,0.69718,0.00524,0.000205631,0.000205631,0.000205631
76,318.592,0.86863,0.6109,0.00436,0.84926,0.87743,0.88854,0.65403,0.99277,0.68547,0.00529,0.000198018,0.000198018,0.000198018
77,321.63,0.83869,0.51945,0.00336,0.82847,0.8777,0.88218,0.65064,0.98846,0.69677,0.00533,0.000190404,0.000190404,0.000190404
78,324.834,0.80279,0.50014,0.00345,0.84139,0.86832,0.8852,0.65253,0.99559,0.69378,0.00541,0.000182791,0.000182791,0.000182791
79,327.868,0.84391,0.5431,0.00343,0.86869,0.84808,0.89224,0.65584,1.00317,0.70057,0.00553,0.000175178,0.000175178,0.000175178
